Porsche Cayenne,Petrol,5.0,Automatic,90.0,4.51
Citroen C5 Aircross,Diesel,5.0,Automatic,52.5,8.28
Datsun GO,Petrol,5.0,Automatic,35.0,7.94
Porsche Macan,Petrol,5.0,Automatic,65.0,7.89
Jaguar XE,Petrol,5.0,Automatic,61.7,6.95
Jaguar F-Pace,Petrol,5.0,Automatic,82.0,4.26
Tata Tiago NRG,Petrol,5.0,Automatic,35.0,6.35
Mahindra KUV 100 NXT,Petrol,6.0,Manual,35.0,5.17
Datsun GO Plus,Petrol,7.0,Automatic,35.0,7.83
Mercedes-Benz AMG GT,Petrol,2.0,Automatic,75.0,5.3
Lexus ES,Petrol,5.0,Automatic,65.0,4.04
Lexus LS,Petrol,4.0,Automatic,82.0,9.5
Isuzu MU-X,Diesel,7.0,Automatic,55.0,11.79
Bentley Flying Spur,Petrol,4.0,Automatic,90.0,8.68
Maserati Quattroporte,Petrol,5.0,Automatic,80.0,6.67
Mercedes-Benz GLC,Diesel,5.0,Automatic,66.0,11.34
Ferrari Portofino,Petrol,4.0,Automatic,81.0,8.07
Maserati Levante,Petrol,5.0,Automatic,80.0,9.81
Tata Yodha Pickup,Diesel,4.0,Manual,45.0,4.67
Aston Martin DBX,Diesel,5.0,Automatic,85.0,6.93
Bentley Continental,Petrol,4.0,Automatic,90.0,5.28
Ferrari 812,Petrol,2.0,Automatic,92.0,8.13
Audi RS7,Petrol,4.0,Automatic,73.0,7.48
Mclaren GT,Petrol,2.0,Automatic,72.0,5.0
Mercedes-Benz G-Class,Diesel,5.0,Automatic,100.0,11.17
Nissan GT-R,Petrol,4.0,Automatic,74.0,4.56
BMW M2,Petrol,4.0,Automatic,52.0,9.22
Rolls Royce Wraith,Petrol,4.0,Automatic,83.0,12.0
Mercedes-Benz V-Class,Diesel,7.0,Automatic,57.0,7.14
Porsche 911,Petrol,4.0,Automatic,64.0,10.96
Mini Cooper Convertible,Petrol,4.0,Automatic,44.0,10.26
Maserati Ghibli,Petrol,5.0,Automatic,80.0,9.29
Lexus NX,Petrol,5.0,Automatic,55.0,6.76
Land Rover Discovery Sport,Petrol,7.0,Automatic,70.0,5.93
Bentley Bentayga,Petrol,4.0,Automatic,85.0,6.16
Ferrari SF90 Stradale,Petrol,2.0,Automatic,68.0,10.49
Lexus LC 500h,Petrol,4.0,Automatic,82.0,8.71
Maserati GranTurismo,Petrol,4.0,Automatic,86.0,4.17
Ferrari F8 Tributo,Petrol,2.0,Automatic,78.0,10.52
Mercedes-Benz GLE,Diesel,5.0,Automatic,93.0,11.87
BMW 8 Series,Petrol,4.0,Automatic,68.0,10.07
Mini Cooper Countryman,Petrol,5.0,Automatic,51.0,4.09
Mercedes-Benz A-Class Limousine,Diesel,5.0,Automatic,66.0,10.24
Maserati GranCabrio,Diesel,4.0,Automatic,75.0,10.01
Mercedes-Benz AMG GLE 53,Petrol,5.0,Automatic,85.0,11.35
Aston Martin Vantage,Petrol,2.0,Manual,73.0,9.29
Lexus RX,Petrol,5.0,Automatic,65.0,11.28
Hyundai Xcent Prime,CNG,5.0,Manual,65.0,4.47
BMW X5 M,Petrol,5.0,Automatic,83.0,5.75
Lamborghini Huracan EVO,Petrol,2.0,Automatic,80.0,5.69
Mini Cooper 3 DOOR,Petrol,4.0,Automatic,44.0,8.22
Mercedes-Benz CLS,Diesel,5.0,Automatic,66.0,9.98
Mahindra Bolero PikUp ExtraLong,Diesel,2.0,Manual,60.0,10.55
Lexus LX,Petrol,8.0,Automatic,93.0,10.4
Mahindra Bolero Camper,Diesel,5.0,Manual,57.0,7.7
Mahindra Bolero Neo,Diesel,7.0,Manual,50.0,6.81
Mahindra Bolero Neo,Diesel,7.0,Manual,50.0,9.7
Maruti Swift Dzire Tour,CNG,5.0,Manual,55.0,6.38
Mercedes-Benz AMG A 35,Petrol,5.0,Automatic,51.0,11.12
Mercedes-Benz GLC Coupe,Diesel,5.0,Automatic,66.0,6.85
Toyota Glanza,Petrol,5.0,Automatic,37.0,10.9
Toyota Glanza,Petrol,5.0,Automatic,37.0,9.92
Honda City Hybrid,Petrol,5.0,Automatic,40.0,4.33
Compass Trailhawk,Diesel,5.0,Automatic,60.0,6.9
Jeep Meridian,Diesel,7.0,Automatic,60.0,6.14
BMW 3 Series Gran Limousine,Petrol,5.0,Automatic,59.0,10.43
MG Hector Plus,Diesel,7.0,Manual,60.0,5.18
Audi RS Q8,Petrol,5.0,Automatic,85.0,10.36
Maruti Alto 800 tour,Petrol,5.0,Manual,35.0,10.55
